time,linear,angular
2024/06/27 13:23:44.412334878,"{'x': 1.3936095129494144, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.9179144567698216}"
2024/06/27 13:23:44.468330900,"{'x': 1.3487693351179075, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.9315251589661013}"
2024/06/27 13:23:44.521353917,"{'x': 1.3233803824909747, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.9652281159373954}"
2024/06/27 13:23:44.575308505,"{'x': 1.2479561778786141, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.9709360770991831}"
2024/06/27 13:23:44.626790445,"{'x': 1.2236860256644657, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.9837890588022891}"
2024/06/27 13:23:44.679310244,"{'x': 1.221917462688987, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.9798907750627839}"
2024/06/27 13:23:44.733170394,"{'x': 1.146298390245384, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.9814964366486603}"
2024/06/27 13:23:44.785690845,"{'x': 1.1840210972566112, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.9755530912529178}"
2024/06/27 13:23:44.839518560,"{'x': 1.1342663438060032, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.9673501649469225}"
2024/06/27 13:23:44.905139217,"{'x': 1.1273644501241347, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.9513683072333272}"
2024/06/27 13:23:44.961250649,"{'x': 1.0852808797121107, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.9440666416218919}"
2024/06/27 13:23:45.14597274,"{'x': 1.0674589769270704, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.9238156057738287}"
2024/06/27 13:23:45.67067112,"{'x': 1.1053764908153543, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.9089561430657831}"
2024/06/27 13:23:45.123656460,"{'x': 1.0984825989530496, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.8667002292448025}"
2024/06/27 13:23:45.183341713,"{'x': 1.1350178358031964, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.846065877855513}"
2024/06/27 13:23:45.235340258,"{'x': 1.126467190119261, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.8044335785844119}"
2024/06/27 13:23:45.291963593,"{'x': 1.1623415192884092, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.7773398123971038}"
2024/06/27 13:23:45.343108565,"{'x': 1.1580058475287167, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.7379910336309967}"
2024/06/27 13:23:45.392726009,"{'x': 1.1872761850898186, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.7220250780947213}"
2024/06/27 13:23:45.445557078,"{'x': 1.2129732805263898, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.6868654589690362}"
2024/06/27 13:23:45.501871419,"{'x': 1.2116506110319738, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.670589288246739}"
2024/06/27 13:23:45.560903152,"{'x': 1.2371480736960236, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.6331990991804961}"
2024/06/27 13:23:45.615774169,"{'x': 1.2373228370561316, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.6089162232468972}"
