time,header,pose
2024/06/27 13:19:37.831873662,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850890122254281, 'y': -21.799987813145705, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01538961735524399, 'w': 0.9998815728263318}}"
2024/06/27 13:19:37.886047237,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850890206952233, 'y': -21.79998787002399, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01539056349610098, 'w': 0.9998815582634137}}"
2024/06/27 13:19:37.940558243,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850890349568056, 'y': -21.799987798595783, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015392441376947685, 'w': 0.9998815293565819}}"
2024/06/27 13:19:37.993392697,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850890406822586, 'y': -21.799987802660652, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015393389503669919, 'w': 0.9998815147604182}}"
2024/06/27 13:19:38.46877220,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850890439414191, 'y': -21.799987830406767, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015394340928411633, 'w': 0.9998815001125783}}"
2024/06/27 13:19:38.108251385,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850890552494842, 'y': -21.79998781972223, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015396247771711422, 'w': 0.9998814707526849}}"
2024/06/27 13:19:38.161133388,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850890667984485, 'y': -21.799987775529118, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015398147718676656, 'w': 0.9998814414953574}}"
2024/06/27 13:19:38.213453891,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850890665323541, 'y': -21.79998778109725, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015399135603412792, 'w': 0.9998814262814705}}"
2024/06/27 13:19:38.265531171,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850890773509996, 'y': -21.799987774747255, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015401057777597815, 'w': 0.9998813966762914}}"
2024/06/27 13:19:38.317711252,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850890844705, 'y': -21.79998778233135, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015402006852031679, 'w': 0.9998813820573568}}"
2024/06/27 13:19:38.370151324,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850890964059738, 'y': -21.799987864268726, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015403865459371268, 'w': 0.9998813534259501}}"
2024/06/27 13:19:38.423762136,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850891001503879, 'y': -21.799987819958773, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015404835920507358, 'w': 0.9998813384748524}}"
